Customer ID,Recency,Frequency,Monetary,k2_cluster,k4_cluster
12346.0,0.8609491,1.2832189,2.883081,1,0
12347.0,-1.8088504,0.962741,1.2049357,1,0
12348.0,-0.22232643,0.52728647,0.60326296,1,2
12349.0,-0.9913731,0.2982091,1.1352664,1,0
12350.0,0.8187587,-1.2652615,-0.7083349,0,1
12351.0,0.9804155,-1.2652615,-0.7894188,0,1
12352.0,-0.6599959,1.1454777,0.8395745,1,0
12353.0,0.48268673,-0.4776812,-0.5589627,0,1
12354.0,0.58323497,-1.2652615,0.1614245,0,1
12355.0,0.5198196,-0.4776812,0.06757829,0,2
12356.0,-0.8969848,0.7041467,1.3736776,1,0
12357.0,-0.7077626,-0.014619284,2.0371158,1,0
12358.0,-1.8088504,0.52728647,1.0485482,1,0
12359.0,-0.38282505,1.1454777,1.586433,1,0
12360.0,-0.44861823,0.962741,1.1084095,1,0
12361.0,0.754882,0.2982091,-0.38664758,0,2
12362.0,-1.7022195,1.2187687,1.2605169,1,0
12363.0,0.031966273,-0.4776812,-0.3293381,0,3
12364.0,-1.3699269,0.2982091,0.30136633,1,3
12365.0,0.76628405,-0.4776812,-0.2178971,0,2
12366.0,1.4567313,-1.2652615,-0.4029614,0,1
12367.0,-1.6155963,-1.2652615,-1.2417139,0,3
12368.0,1.4476937,-1.2652615,0.044357542,0,1
12369.0,1.0645682,-0.014619284,0.51987815,0,2
12370.0,-0.46017084,0.8459028,1.1182697,1,0
12371.0,-0.5335817,0.52728647,1.078765,1,0
12372.0,-0.2483507,-0.014619284,0.2931728,1,2
12373.0,0.8214471,-0.014619284,0.19278523,0,2
12374.0,-0.85455126,0.2982091,0.87196517,1,0
12375.0,-1.2398102,-0.4776812,-0.4700935,1,3
12376.0,1.0144308,-0.4776812,-0.398613,0,1
12377.0,0.83213043,0.2982091,0.96405363,1,2
12378.0,0.14878619,-0.4776812,1.2678226,1,2
12379.0,-0.16472657,0.2982091,0.44971132,1,2
12380.0,-0.9192978,1.2187687,1.6414131,1,0
12381.0,-1.5421736,0.52728647,0.54064137,1,0
12383.0,0.40784416,0.52728647,0.5426197,1,2
12384.0,-0.7771377,-0.4776812,-0.2857674,0,3
12385.0,0.9895934,-1.2652615,0.57486725,0,2
12386.0,0.891496,-0.4776812,-0.5680823,0,1
12387.0,1.0688193,-1.2652615,-1.3693726,0,1
12388.0,-1.072921,0.962741,1.0509537,1,0
12389.0,1.043057,-0.014619284,0.36342,0,2
12390.0,-0.18076456,-1.2652615,-0.33226207,0,3
12391.0,-0.9192978,0.7041467,0.8090676,1,0
12392.0,1.3903471,-1.2652615,-0.9822068,0,1
12393.0,-0.2483507,0.7041467,0.72214466,1,0
12394.0,-0.32230076,-0.4776812,0.2790339,0,3
12395.0,-0.9913731,1.4379972,1.1775433,1,0
12396.0,1.5152572,-1.2652615,0.055114668,0,1
12397.0,-0.6599959,-0.4776812,0.7251255,1,3
12398.0,-0.52082205,-1.2652615,0.4563639,0,3
12399.0,0.08650406,0.8459028,0.58337426,1,2
12400.0,1.0666958,-1.2652615,-1.0875227,0,1
12401.0,0.7997394,-1.2652615,-1.8038911,0,1
12402.0,0.85316914,0.7041467,0.2702676,1,2
12403.0,-0.4719068,-0.4776812,0.12026466,0,3
12404.0,1.52662,-1.2652615,-2.041814,0,1
12405.0,0.24692991,-1.2652615,0.48765114,0,3
12406.0,-0.9192978,0.52728647,1.375571,1,0
12407.0,-0.4719068,0.52728647,0.4867222,1,0
12408.0,-0.7077626,0.962741,1.1219788,1,0
12409.0,-0.18890548,0.8459028,2.1869895,1,0
12410.0,0.8160633,-0.014619284,0.11626014,0,2
12411.0,1.05816,-1.2652615,-0.68022805,0,1
12412.0,-0.22232643,0.7041467,0.7762788,1,0
12413.0,-0.293739,0.2982091,0.106047444,1,2
12414.0,0.5306835,0.7041467,0.07123256,1,2
12415.0,-0.8754205,1.7963917,3.2260926,1,0
12416.0,1.4907404,-1.2652615,-1.0979091,0,1
12417.0,-1.7022195,1.6161757,1.415542,1,0
12418.0,0.050535347,0.2982091,0.6038802,1,2
