Customer ID,sub
12346.0,1
12347.0,2
12348.0,1
12349.0,0
12352.0,2
12356.0,2
12357.0,2
12358.0,2
12359.0,2
12360.0,1
12362.0,2
12364.0,0
12370.0,1
12371.0,1
12372.0,0
12374.0,0
12375.0,0
12377.0,1
12378.0,1
12379.0,1
12380.0,2
12381.0,0
12383.0,1
12388.0,2
12391.0,0
12393.0,1
12395.0,2
12397.0,0
12399.0,1
12402.0,1
12406.0,2
12407.0,0
12408.0,2
12409.0,2
12412.0,1
12413.0,0
12414.0,1
12415.0,2
12417.0,2
12418.0,1
12421.0,0
12422.0,1
12423.0,2
12424.0,1
12425.0,0
12427.0,0
12428.0,2
12429.0,2
12431.0,2
12432.0,1
12433.0,2
12434.0,0
12435.0,1
12437.0,2
12438.0,0
12444.0,2
12449.0,2
12450.0,1
12451.0,2
12454.0,2
12455.0,1
12456.0,0
12457.0,1
12458.0,1
12462.0,0
12463.0,0
12464.0,0
12465.0,0
12468.0,1
12471.0,2
12472.0,2
12473.0,0
12474.0,2
12476.0,2
12477.0,2
12480.0,2
12481.0,2
12482.0,1
12483.0,2
12484.0,2
12488.0,0
12490.0,2
12492.0,0
12494.0,0
12497.0,1
12498.0,0
12500.0,2
12502.0,1
12504.0,0
12507.0,1
12510.0,1
12516.0,1
12517.0,0
12518.0,0
12520.0,1
12523.0,2
12524.0,2
12526.0,0
12527.0,0
12528.0,0
12530.0,1
12531.0,0
12536.0,1
12539.0,2
12540.0,2
12541.0,0
12546.0,0
12553.0,2
12557.0,2
12560.0,0
12562.0,2
12567.0,2
12569.0,2
12572.0,0
12576.0,0
12577.0,0
12578.0,0
12582.0,1
12583.0,2
12584.0,2
12586.0,0
12588.0,0
12589.0,2
12590.0,1
12592.0,1
12594.0,2
12597.0,0
12598.0,2
12599.0,2
12600.0,2
12601.0,1
12609.0,1
12610.0,0
12613.0,2
12615.0,2
12616.0,0
12619.0,2
12620.0,0
12621.0,2
12623.0,1
12625.0,1
12626.0,2
12627.0,2
12628.0,0
12630.0,0
12631.0,1
12633.0,1
12635.0,1
12637.0,2
12638.0,0
12640.0,0
12642.0,0
12643.0,1
12644.0,1
12645.0,2
12646.0,0
12647.0,2
12648.0,1
12649.0,1
12653.0,1
12654.0,0
12656.0,2
12657.0,0
12662.0,2
12664.0,2
12668.0,2
12669.0,1
12670.0,2
12673.0,0
12674.0,0
12676.0,2
12678.0,2
12679.0,0
12680.0,0
12681.0,2
12682.0,2
12683.0,2
12684.0,0
12685.0,0
12689.0,0
12691.0,0
12693.0,1
12694.0,0
12695.0,0
12697.0,0
12700.0,0
12701.0,1
12703.0,0
12704.0,2
12705.0,2
12708.0,2
12709.0,2
12710.0,0
12712.0,2
12713.0,0
12714.0,2
12716.0,0
12719.0,0
12720.0,2
12721.0,2
12722.0,0
12723.0,0
12724.0,0
12725.0,1
12726.0,2
12727.0,2
12728.0,0
12731.0,2
12733.0,1
12739.0,1
12744.0,2
12747.0,2
12748.0,2
12749.0,2
12753.0,2
12754.0,1
12755.0,1
12757.0,2
12758.0,1
12759.0,1
12762.0,0
12766.0,2
12775.0,0
12778.0,0
12779.0,2
12782.0,2
12783.0,0
12784.0,0
12787.0,0
12798.0,2
12802.0,1
12806.0,1
12808.0,0
12809.0,1
12811.0,1
12820.0,2
12823.0,2
12826.0,2
12827.0,0
12828.0,0
12830.0,2
12835.0,1
12836.0,2
12838.0,2
12839.0,2
12840.0,1
12841.0,2
12842.0,1
12843.0,2
12844.0,0
12847.0,0
12849.0,0
12853.0,1
12854.0,1
12856.0,0
12857.0,1
12863.0,1
12865.0,0
12867.0,2
12868.0,1
12872.0,1
12875.0,1
12876.0,1
12877.0,2
12879.0,0
12882.0,0
12883.0,0
12885.0,0
12890.0,0
12891.0,1
12901.0,2
12906.0,0
12908.0,1
12909.0,1
12910.0,2
12912.0,0
12913.0,2
12915.0,1
12916.0,1
12917.0,1
12919.0,0
12920.0,0
12921.0,2
12923.0,0
12924.0,1
12925.0,0
12928.0,2
12931.0,2
12932.0,1
12933.0,0
12935.0,2
12936.0,0
12937.0,2
12939.0,2
12947.0,1
12948.0,2
12949.0,2
12950.0,0
12951.0,2
12952.0,0
12953.0,0
12955.0,2
12957.0,2
12963.0,2
12970.0,0
12971.0,2
12975.0,1
12976.0,1
12978.0,1
12980.0,1
12982.0,1
12985.0,0
12986.0,1
12987.0,1
12989.0,2
12990.0,0
12991.0,0
12993.0,0
12994.0,0
12997.0,0
13000.0,1
13001.0,2
13004.0,2
13005.0,1
13012.0,2
13013.0,2
13014.0,2
13015.0,2
13016.0,0
13018.0,2
13019.0,1
13021.0,2
13023.0,0
13026.0,2
13027.0,2
13029.0,0
13030.0,0
13031.0,1
13032.0,1
13034.0,0
13035.0,0
13037.0,1
13038.0,0
13040.0,0
13044.0,1
13046.0,0
13047.0,2
13048.0,2
13049.0,0
13050.0,2
13052.0,1
13055.0,1
13059.0,1
13064.0,0
13069.0,2
13077.0,2
13078.0,2
13079.0,0
13081.0,2
13082.0,1
13083.0,0
13085.0,1
13089.0,2
13090.0,2
13091.0,0
13092.0,1
13093.0,2
13094.0,2
13097.0,2
13098.0,2
13102.0,2
13103.0,0
13104.0,0
13107.0,2
13109.0,0
13110.0,2
13113.0,2
13115.0,2
13117.0,2
13118.0,2
13124.0,1
13126.0,2
13131.0,2
13134.0,1
13136.0,2
13137.0,2
13138.0,0
13139.0,2
13140.0,1
13141.0,2
13145.0,0
13147.0,0
13148.0,2
13149.0,0
13152.0,1
13155.0,0
13157.0,2
13158.0,1
13159.0,0
13162.0,1
13165.0,0
13167.0,0
13168.0,0
13169.0,0
13171.0,0
13173.0,2
13174.0,2
13178.0,2
13183.0,2
13184.0,0
13186.0,0
13192.0,1
13196.0,2
13198.0,2
13199.0,2
13200.0,0
13202.0,1
13203.0,2
13206.0,1
13207.0,0
13208.0,1
13209.0,2
13211.0,2
13212.0,0
13213.0,1
13214.0,1
13220.0,1
13223.0,1
13224.0,0
13225.0,2
13230.0,2
13232.0,0
13233.0,0
13236.0,0
13238.0,0
13239.0,1
13240.0,1
13242.0,1
13243.0,1
13246.0,2
13247.0,0
13249.0,1
13253.0,1
13255.0,0
13258.0,0
13259.0,1
13263.0,2
13265.0,1
13266.0,2
13267.0,2
13268.0,2
13269.0,2
13276.0,1
13277.0,0
13278.0,0
13280.0,1
13282.0,0
13285.0,0
13291.0,1
13292.0,0
13293.0,1
13296.0,1
13297.0,2
13301.0,0
13305.0,2
13308.0,0
13309.0,0
13310.0,0
13311.0,0
13313.0,2
13314.0,0
13316.0,2
13317.0,2
13318.0,0
13319.0,2
13320.0,1
13323.0,0
13324.0,2
13327.0,2
13329.0,2
13330.0,1
13334.0,1
13338.0,1
13340.0,2
13344.0,0
13350.0,0
13357.0,1
13362.0,2
13363.0,0
13365.0,0
13373.0,1
13375.0,0
13376.0,0
13379.0,0
13381.0,2
13382.0,1
13384.0,2
13389.0,0
13394.0,2
13396.0,0
13397.0,1
13402.0,1
13404.0,0
13405.0,1
13408.0,2
13410.0,2
13414.0,1
13416.0,0
13417.0,0
13418.0,2
13421.0,2
13425.0,1
13426.0,2
13427.0,0
13428.0,0
13429.0,0
13430.0,0
13431.0,1
13434.0,1
13435.0,2
13437.0,2
13440.0,1
13446.0,1
13447.0,0
13448.0,2
13450.0,2
13451.0,2
13455.0,0
13456.0,0
13458.0,2
13461.0,1
13462.0,1
13464.0,1
13466.0,1
13467.0,0
13468.0,2
13471.0,0
13473.0,1
13475.0,1
13476.0,1
13477.0,2
13478.0,1
13481.0,2
13485.0,1
13486.0,0
13487.0,0
13488.0,2
13491.0,2
13492.0,1
13495.0,2
13496.0,0
13497.0,1
13499.0,0
13500.0,0
13501.0,1
13502.0,0
13503.0,1
13505.0,1
13506.0,1
13507.0,0
13509.0,0
13510.0,2
13514.0,0
13515.0,1
13516.0,0
13517.0,0
13520.0,2
13521.0,0
13523.0,2
13524.0,0
13525.0,0
13527.0,2
13531.0,1
13534.0,2
13536.0,2
13538.0,2
13539.0,1
13542.0,1
13544.0,0
13546.0,0
13549.0,0
13552.0,2
13554.0,1
13555.0,2
13557.0,2
13558.0,0
13561.0,1
13562.0,1
13564.0,2
13565.0,0
13566.0,0
13569.0,0
13571.0,2
13573.0,0
13575.0,0
13576.0,2
13577.0,2
13579.0,0
13587.0,0
13588.0,2
13589.0,0
13590.0,2
13591.0,1
13593.0,1
13596.0,0
13598.0,0
13599.0,2
13601.0,0
13602.0,0
13607.0,0
13610.0,2
13611.0,1
